,lat,lon
75,37.787965257,-122.418467748
76,37.787965257,-122.418467748
77,37.787965257,-122.418467748
78,37.787965257,-122.418467748
79,37.787965257,-122.418467748
80,37.7618358012,-122.419360353
81,37.7618358012,-122.419360353
82,37.7634954373,-122.418486297
83,37.7604330004,-122.41592985
84,37.7604330004,-122.41592985
85,37.7604330004,-122.41592985
86,37.7604330004,-122.41592985
87,37.7604330004,-122.41592985
88,37.7604330004,-122.41592985
89,37.7604330004,-122.41592985
90,37.787965257,-122.418467748
91,37.787148808,-122.409876623
92,37.787965257,-122.418467748
93,37.7604330004,-122.41592985
94,37.7604330004,-122.41592985
95,37.7604330004,-122.41592985
96,37.7604330004,-122.41592985
97,37.7604330004,-122.41592985
98,37.7874861572,-122.418368839
99,37.787965257,-122.418467748
100,37.7870372044,-122.418274172
101,37.7549624154,-122.426635077
102,37.7635718956,-122.417332583
103,37.729738145,-122.383433949
104,37.7571005796,-122.417812559
105,37.7590272974,-122.412502864
106,37.7884982866,-122.406775392
107,37.7882933915,-122.40840386
108,37.7646048757,-122.405466576
109,37.7586968166,-122.417964484
110,37.7851670876,-122.417903978
111,37.787148808,-122.409876623
112,37.7629167767,-122.412173946
113,37.7617009782,-122.411090795
114,37.7531779939,-122.403409085
115,37.755504342,-122.41766064
116,37.7540986882,-122.414233849
117,37.7626384173,-122.395565262
118,37.7330708174,-122.385001534
119,37.7990019437,-122.441811628
120,37.7817199969,-122.469628051
121,37.7530422086,-122.504883711
122,37.7427355501,-122.481592052
123,37.7424682354,-122.490170247
124,37.7878271137,-122.408384276
125,37.787764099,-122.409925328
126,37.7878271137,-122.408384276
127,37.7589402059,-122.413045094
128,37.7622630617,-122.412179604
129,37.7639259195,-122.405468776
130,37.7882184508,-122.418445946
131,37.7890603556,-122.392347672
132,37.7882398998,-122.409256096
133,37.7527667267,-122.410519782
134,37.7609766091,-122.434457354
135,37.7639259195,-122.405468776
136,37.7639259195,-122.405468776
137,37.7897596938,-122.404828019
138,37.7895016292,-122.41027135
139,37.783695227,-122.410791678
140,37.7648250318,-122.412422725
141,37.798391758,-122.42480864
142,37.787722739,-122.412439198
143,37.763035554,-122.50966216
144,37.763035554,-122.50966216
145,37.763035554,-122.50966216
146,37.763035554,-122.50966216
147,37.763035554,-122.50966216
148,37.763035554,-122.50966216
149,37.763035554,-122.50966216
150,37.763035554,-122.50966216
151,37.763035554,-122.50966216
152,37.7854574903,-122.400916029
153,37.7854574903,-122.400916029
154,37.7912255174,-122.404195425
155,37.785738295,-122.41382007
156,37.785738295,-122.41382007
157,37.7887345764,-122.406886504
158,37.7887345764,-122.406886504
159,37.7887345764,-122.406886504
160,37.7887345764,-122.406886504
161,37.7887345764,-122.406886504
162,37.7887345764,-122.406886504
163,37.7887345764,-122.406886504
164,37.7887345764,-122.406886504
165,37.7887345764,-122.406886504
166,37.7869881885,-122.410699658
167,37.7887345764,-122.406886504
168,37.7887345764,-122.406886504
169,37.7887345764,-122.406886504
170,37.7887345764,-122.406886504
171,37.7887345764,-122.406886504
172,37.7887345764,-122.406886504
173,37.7887345764,-122.406886504
174,37.7887345764,-122.406886504
175,37.7887345764,-122.406886504
176,37.7887345764,-122.406886504
177,37.7887345764,-122.406886504
178,37.7887345764,-122.406886504
