,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
141365,-122.400916029,37.7854574903,0,1,3,2,2
141366,-122.400916029,37.7854574903,0,1,3,2,2
141368,-122.400916029,37.7854574903,0,1,3,2,2
141369,-122.400916029,37.7854574903,0,1,3,2,2
141401,-122.410699658,37.7869881885,0,1,3,2,2
141402,-122.410699658,37.7869881885,0,1,3,2,2
141403,-122.410699658,37.7869881885,0,1,3,2,2
141409,-122.410699658,37.7869881885,0,1,3,2,2
141410,-122.410699658,37.7869881885,0,1,3,2,2
141414,-122.410699658,37.7869881885,0,1,3,2,2
141416,-122.410699658,37.7869881885,0,1,3,2,2
141422,-122.410699658,37.7869881885,0,1,3,2,2
141423,-122.410699658,37.7869881885,0,1,3,2,2
141424,-122.410699658,37.7869881885,0,1,3,2,2
141425,-122.410699658,37.7869881885,0,1,3,2,2
141426,-122.410699658,37.7869881885,0,1,3,2,2
143327,-122.410699658,37.7869881885,0,1,3,2,2
143330,-122.410699658,37.7869881885,0,1,3,2,2
144427,-122.410699658,37.7869881885,0,1,3,2,2
144430,-122.410699658,37.7869881885,0,1,3,2,2
144433,-122.410699658,37.7869881885,0,1,3,2,2
144611,-122.419058868,37.7594227506,1,0,1,1,1
144612,-122.419058868,37.7594227506,1,0,1,1,1
144716,-122.418738266,37.7546172382,1,0,1,1,1
145514,-122.423682814,37.796204621,0,1,0,0,0
146755,-122.408384276,37.7878271137,0,1,3,2,2
146766,-122.408384276,37.7878271137,0,1,3,2,2
146949,-122.408384276,37.7878271137,0,1,3,2,2
147498,-122.400916029,37.7854574903,0,1,3,2,2
147500,-122.400916029,37.7854574903,0,1,3,2,2
147992,-122.436194485,37.7227270384,1,0,1,1,5
150578,-122.418562097,37.7841847091,0,1,0,0,0
153797,-122.417812559,37.7571005796,1,0,1,1,1
153835,-122.418467748,37.787965257,0,1,0,0,0
153836,-122.418467748,37.787965257,0,1,0,0,0
153837,-122.418467748,37.787965257,0,1,0,0,0
153869,-122.417964484,37.7586968166,1,0,1,1,1
153870,-122.417964484,37.7586968166,1,0,1,1,1
153872,-122.417812559,37.7571005796,1,0,1,1,1
153875,-122.419360353,37.7618358012,1,0,1,1,1
153877,-122.417812559,37.7571005796,1,0,1,1,1
153882,-122.417812559,37.7571005796,1,0,1,1,1
153887,-122.417812559,37.7571005796,1,0,1,1,1
153891,-122.41592985,37.7604330004,1,0,1,1,1
153892,-122.41592985,37.7604330004,1,0,1,1,1
153917,-122.418467748,37.787965257,0,1,0,0,0
153918,-122.418467748,37.787965257,0,1,0,0,0
153957,-122.41592985,37.7604330004,1,0,1,1,1
153958,-122.41592985,37.7604330004,1,0,1,1,1
153959,-122.41592985,37.7604330004,1,0,1,1,1
153968,-122.417964484,37.7586968166,1,0,1,1,1
153974,-122.418467748,37.787965257,0,1,0,0,0
153979,-122.418467748,37.787965257,0,1,0,0,0
153986,-122.41592985,37.7604330004,1,0,1,1,1
153987,-122.418904205,37.7570361132,1,0,1,1,1
154000,-122.41592985,37.7604330004,1,0,1,1,1
154030,-122.418467748,37.787965257,0,1,0,0,0
154032,-122.418467748,37.787965257,0,1,0,0,0
154034,-122.417332583,37.7635718956,1,0,1,1,1
154035,-122.417028392,37.7603656932,1,0,1,1,1
154040,-122.417964484,37.7586968166,1,0,1,1,1
154041,-122.416078424,37.7620347867,1,0,1,1,1
154044,-122.418221946,37.7481664084,1,0,1,1,1
154091,-122.41592985,37.7604330004,1,0,1,1,1
154092,-122.41592985,37.7604330004,1,0,1,1,1
154093,-122.41592985,37.7604330004,1,0,1,1,1
154096,-122.417964484,37.7586968166,1,0,1,1,1
154108,-122.418467748,37.787965257,0,1,0,0,0
154109,-122.418467748,37.787965257,0,1,0,0,0
154116,-122.418467748,37.787965257,0,1,0,0,0
154138,-122.415629332,37.7572322279,1,0,1,1,1
154167,-122.418467748,37.787965257,0,1,0,0,0
154168,-122.418467748,37.787965257,0,1,0,0,0
154169,-122.418467748,37.787965257,0,1,0,0,0
154170,-122.417812559,37.7571005796,1,0,1,1,1
154286,-122.41592985,37.7604330004,1,0,1,1,1
154287,-122.41592985,37.7604330004,1,0,1,1,1
154288,-122.41592985,37.7604330004,1,0,1,1,1
154289,-122.41592985,37.7604330004,1,0,1,1,1
154294,-122.403409085,37.7531779939,1,0,1,1,1
154296,-122.410059856,37.788082534,0,1,3,2,2
154312,-122.41967178,37.7650501215,1,0,1,1,1
154321,-122.419052694,37.7586324052,1,0,1,1,1
154353,-122.41592985,37.7604330004,1,0,1,1,1
154404,-122.408040475,37.7864094034,0,1,3,2,2
154488,-122.417964484,37.7586968166,1,0,1,1,1
154514,-122.418467748,37.787965257,0,1,0,0,0
154515,-122.418467748,37.787965257,0,1,0,0,0
154565,-122.418486297,37.7634954373,1,0,1,1,1
154568,-122.418467748,37.787965257,0,1,0,0,0
154589,-122.41592985,37.7604330004,1,0,1,1,1
154593,-122.41592985,37.7604330004,1,0,1,1,1
154594,-122.41592985,37.7604330004,1,0,1,1,1
154595,-122.41592985,37.7604330004,1,0,1,1,1
154611,-122.41592985,37.7604330004,1,0,1,1,1
154612,-122.41592985,37.7604330004,1,0,1,1,1
154624,-122.41638971,37.7652491154,1,0,1,1,1
154627,-122.418368839,37.7874861572,0,1,0,0,0
154629,-122.418467748,37.787965257,0,1,0,0,0
154630,-122.418274172,37.7870372044,0,1,0,0,0
154631,-122.426635077,37.7549624154,1,0,1,1,1
154632,-122.417332583,37.7635718956,1,0,1,1,1
154727,-122.408231026,37.787359495,0,1,3,2,2
154807,-122.411702003,37.7878718776,0,1,0,0,0
154808,-122.415781282,37.7588312135,1,0,1,1,1
154854,-122.417964484,37.7586968166,1,0,1,1,1
155094,-122.408231026,37.787359495,0,1,3,2,2
155131,-122.412502864,37.7590272974,1,0,1,1,1
155167,-122.408231026,37.787359495,0,1,3,2,2
155168,-122.419930112,37.7868262082,0,1,0,0,0
155291,-122.408231026,37.787359495,0,1,3,2,2
155292,-122.41592985,37.7604330004,1,0,1,1,1
155561,-122.408231026,37.787359495,0,1,3,2,2
155575,-122.408231026,37.787359495,0,1,3,2,2
155592,-122.40840386,37.7882933915,0,1,3,2,2
155598,-122.417488324,37.765181804,1,0,1,1,1
155643,-122.415629332,37.7572322279,1,0,1,1,1
155655,-122.405466576,37.7646048757,1,0,1,1,1
155667,-122.408040475,37.7864094034,0,1,3,2,2
155694,-122.415781282,37.7588312135,1,0,1,1,1
155742,-122.417964484,37.7586968166,1,0,1,1,1
155794,-122.415629332,37.7572322279,1,0,1,1,1
155942,-122.417812559,37.7571005796,1,0,1,1,1
156048,-122.418120086,37.760301234,1,0,1,1,1
156057,-122.412173946,37.7629167767,1,0,1,1,1
156060,-122.41967178,37.7650501215,1,0,1,1,1
156065,-122.408231026,37.787359495,0,1,3,2,2
156146,-122.411090795,37.7617009782,1,0,1,1,1
156147,-122.409876623,37.787148808,0,1,3,2,2
156162,-122.41766064,37.755504342,1,0,1,1,1
156194,-122.403409085,37.7531779939,1,0,1,1,1
156330,-122.417964484,37.7586968166,1,0,1,1,1
156344,-122.40840386,37.7882933915,0,1,3,2,2
156357,-122.418120086,37.760301234,1,0,1,1,1
156396,-122.418120086,37.760301234,1,0,1,1,1
156397,-122.417964484,37.7586968166,1,0,1,1,1
156398,-122.418272166,37.7619029613,1,0,1,1,1
156419,-122.417964484,37.7586968166,1,0,1,1,1
156420,-122.414845139,37.7605000726,1,0,1,1,1
156421,-122.417964484,37.7586968166,1,0,1,1,1
156474,-122.41766064,37.755504342,1,0,1,1,1
156486,-122.408231026,37.787359495,0,1,3,2,2
156633,-122.41592985,37.7604330004,1,0,1,1,1
156717,-122.417964484,37.7586968166,1,0,1,1,1
156728,-122.417964484,37.7586968166,1,0,1,1,1
156957,-122.41592985,37.7604330004,1,0,1,1,1
156965,-122.416720982,37.7571677817,1,0,1,1,1
156995,-122.418120086,37.760301234,1,0,1,1,1
157180,-122.417964484,37.7586968166,1,0,1,1,1
157198,-122.417028392,37.7603656932,1,0,1,1,1
157375,-122.415239912,37.7589178813,1,0,1,1,1
157398,-122.412056242,37.7609899089,1,0,1,1,1
157567,-122.416863556,37.7579459515,1,0,1,1,1
157833,-122.415921585,37.7596123169,1,0,1,1,1
157843,-122.415605496,37.7677177521,1,0,1,1,1
157858,-122.408384276,37.7878271137,0,1,3,2,2
157974,-122.463079076,37.7254765726,1,2,2,3,3
158041,-122.417577215,37.7603888134,1,0,1,1,1
158042,-122.416070933,37.7612142237,1,0,1,1,1
158119,-122.417260521,37.7570790191,1,0,1,1,1
158130,-122.460301751,37.7242085323,1,2,2,3,3
158132,-122.473030392,37.7432215533,1,2,2,4,4
158261,-122.415229421,37.7588083436,1,0,1,1,1
158335,-122.413045094,37.7589402059,1,0,1,1,1
158336,-122.415770264,37.7580118295,1,0,1,1,1
158337,-122.412179604,37.7622630617,1,0,1,1,1
158346,-122.405468776,37.7639259195,1,0,1,1,1
158369,-122.488025948,37.7425626183,1,2,2,4,4
158495,-122.418445946,37.7882184508,0,1,0,0,0
158544,-122.417817853,37.7578884408,1,0,1,1,1
158545,-122.41718521,37.7627583408,1,0,1,1,1
158823,-122.415921585,37.7596123169,1,0,1,1,1
159177,-122.410699658,37.7869881885,0,1,3,2,2
159341,-122.403404791,37.7754207067,0,1,3,2,2
159661,-122.41027135,37.7895016292,0,1,3,2,2
159775,-122.459564595,37.7246926894,1,2,2,3,3
159828,-122.410699658,37.7869881885,0,1,3,2,2
159900,-122.410791678,37.783695227,0,1,3,2,2
159991,-122.469655723,37.7648181686,1,2,2,4,4
